order_id,product_id,quantity,selling_price,customer_id,order_date,payment_method,sales_channel,discount,city,customer_type,join_date,product_name,category,brand,unit,unit_price,reorder_level,source_type,year_month,line_revenue,allocated_discount,net_revenue
ORD000001,P0045,15,1850000.0,C0146,2025-11-10 02:24:00,card,shopee,0.0,Nha Trang,wholesale,2024-05-13,Máy hủy tài liệu,Thiết bị văn phòng,Silicon,chiếc,1850000.0,3,lecturer_sample,2025-11,27750000.0,0.0,27750000.0
ORD000001,P0029,24,23122.0,C0146,2025-11-10 02:24:00,card,shopee,0.0,Nha Trang,wholesale,2024-05-13,Kéo học sinh 13 cm,Dụng cụ học tập,Deli,chiếc,25000.0,18,lecturer_sample,2025-11,554928.0,0.0,554928.0
ORD000002,P0036,25,173962.0,C0003,2025-09-22 19:05:00,transfer,shopee,0.0,TP. Hồ Chí Minh,wholesale,2024-12-09,Khay tài liệu 3 tầng,Hồ sơ và lưu trữ,Deli,bộ,185000.0,8,lecturer_sample,2025-09,4349050.0,0.0,4349050.0
ORD000003,P0022,5,18000.0,C0005,2025-02-17 20:14:00,card,offline,0.0,Hà Nội,retail,2023-12-14,Thước ê ke 2 chiếc,Dụng cụ học tập,Deli,bộ,18000.0,20,lecturer_sample,2025-02,90000.0,0.0,90000.0
ORD000003,P0058,4,350000.0,C0005,2025-02-17 20:14:00,card,offline,0.0,Hà Nội,retail,2023-12-14,Bộ chia USB 4 cổng,Phụ kiện máy tính,Ugreen,chiếc,350000.0,8,lecturer_sample,2025-02,1400000.0,0.0,1400000.0
ORD000004,P0012,28,5000.0,C0065,2025-04-29 17:46:00,transfer,offline,0.0,Cần Thơ,wholesale,2024-03-28,Bút bi đen 0.5 mm,Bút viết,Thiên Long,cây,5000.0,60,lecturer_sample,2025-04,140000.0,0.0,140000.0
ORD000005,P0089,5,1725570.0,C0186,2025-10-30 04:33:00,card,offline,0.0,Đà Nẵng,student,2024-06-22,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sách,Unknown,quyển,1725570.0,27,public_website,2025-10,8627850.0,0.0,8627850.0
ORD000005,P0027,1,87382.0,C0186,2025-10-30 04:33:00,card,offline,0.0,Đà Nẵng,student,2024-06-22,Bộ màu sáp 24 màu,Dụng cụ học tập,Crayola,bộ,92000.0,12,lecturer_sample,2025-10,87382.0,0.0,87382.0
ORD000006,P0009,9,18000.0,C0179,2025-03-07 02:55:00,card,website,0.0,Nha Trang,office,2024-06-30,Giấy note 3 x 3 inch,Vở và giấy,Deli,xấp,18000.0,30,lecturer_sample,2025-03,162000.0,0.0,162000.0
ORD000006,P0002,3,18000.0,C0179,2025-03-07 02:55:00,card,website,0.0,Nha Trang,office,2024-06-30,Vở kẻ ngang 120 trang,Vở và giấy,Campus,quyển,18000.0,30,lecturer_sample,2025-03,54000.0,0.0,54000.0
