order_id,y_true,y_pred,abs_error,pct_error,sales_channel,city,customer_type,n_items,total_qty,avg_selling_price
ORD000414,846239000.0,393347683.28571427,452891316.71428573,0.5351813337772021,offline,Nha Trang,wholesale,2,44,15374750.0
ORD000157,150830626.0,393347683.28571427,242517057.28571427,1.6078767536621792,shopee,Nha Trang,retail,6,19,10664806.5
ORD000295,536096250.0,393347683.28571427,142748566.71428573,0.2662741377397916,offline,TP. Hồ Chí Minh,wholesale,2,21,18424875.0
ORD000219,302497250.0,168413231.3529412,134084018.64705881,0.4432569838140969,website,Hà Nội,wholesale,1,11,27499750.0
ORD000819,58102401.00000001,187209782.1,129107381.1,2.2220661948204166,online,Huế,retail,6,14,7095275.166666667
ORD001023,54999500.0,168413231.3529412,113413731.35294119,2.062086589022467,offline,Hải Phòng,retail,1,2,27499750.0
ORD000124,58441250.0,168413231.3529412,109971981.35294119,1.8817527235119234,shopee,Biên Hòa,retail,3,11,17229350.0
ORD001164,185172640.0,79419769.42105263,105752870.57894737,0.5711041900085637,offline,Đà Nẵng,retail,4,12,9615595.0
ORD001173,86208250.0,187209782.1,101001532.1,1.1715993782497613,offline,Cần Thơ,office,4,26,6997687.5
ORD000267,72027559.0,155437984.2,83410425.19999999,1.1580348738459953,shopee,Nha Trang,office,4,35,2993279.75
